Section/Column,Name,Notes
Venue Information,Melbourne Town Hall (MTH),"Location: 90/130 Swanston St, Melbourne VIC 3000
Performances: Town Hall Series (TH[year]) and some Special and Commercial Events  

The Front of House (ushering/cloak room) is run by Arts Centre Melbourne (ACM), but they do not provide any ticketing. Front doors open 90 minutes prior to performance, and auditorium doors open 30 minutes prior to performance. 

What needs to be brought to Town Hall venue shifts?
2 x Laptops (LT bags include mouse, charger etc), Banners (as specified in concert sheet), 2 x EFTPOS machine, Wifi box, 2 x Power Board, Extension Cord, Gaffe tape, Ticket Stock, 5 x Season Brochures, Lost Ticket Book, Stationary (Pens, notebook, scissors, blue-tack, sticky tape), BO Open Signage, Confidential Waste Folder, BOCA printer, QR Code Signage, Crocodile (Ticker Sorter), Black Tablecloth. 

A free organ recital (6:30pm) for ticketholders occurs prior to most Town Hall performances.

A map of Town Hall is available https://melbourneso.sharepoint.com/:b:/s/MarketingSales2/EXklp2FNGLZBq0QnWVXI7tQBzDG5Hj7d-07REdfM8t12pg?e=xdc5SI
More information on Town Hall is availablehttps://melbourneso.sharepoint.com/:w:/r/sites/MarketingSales2/_layouts/15/Doc.aspx?sourcedoc=%7BA3EF819B-E229-4A4D-AE40-6DCA3A4B874B%7D&file=C.%20Melbourne%20Town%20Hall.docx&action=default&mobileredirect=true.

Lost property contact: 03 9658 9658

#venue #town #melb #Melbourne #TH #subscription #Series #setseries"
Venue Information,General Venue Shift Information,"

General Info 
 
Concert Sheets 
A document containing all relevant information regarding a performance (attendance, rostered staff, run time, etc.) 
 
Sent by Box Office Manager the day before the performance (Friday before for weekend concerts) 
Supervisor on Call 
The first person to contact for anything urgent. Check the concert sheet to see who is on call 
Responsibilities of MSO Box Office during concert shifts 
MSO Box Office is there primarily for ticket collection and troubleshooting only. 
Typically, no MSO ticket sales can be made before concerts* Please direct to venue box office (for eg. Hamer Hall, direct to ACM staff) 
Attire 
Black top (preferably MSO shirt and/or jacket), pants/skirt etc., closed shoes 

 

FAQs 
 
What time do we have to be at the venue? 
Your shift start time will be listed on your Concert Sheet and in Deputy. Typically, BOA are rostered at the venue at least 1-1.5 hours before the concert starts. 


Can we process exchanges during concert shifts? 
No. However, customers can fill out the exchange request form or we can note in shift report, and we’ll process the next business day. 
Should we go to ABC first when we have a venue shift? 
Yes, unless stated otherwise. This allows us time for any last-minute requests and to collect pre-printed venue collect tickets. 
 

*Exemptions may apply (see Iwaki - Jams for Juniors) 

Additional Info and Links:
https://melbourneso.sharepoint.com/:w:/r/sites/MarketingSales2/_layouts/15/Doc.aspx?sourcedoc=%7BC621D64D-B671-42CC-B670-9FA01077B9F9%7D&file=Setting%20up%20Remote%20Box%20Office.docx&action=default&mobileredirect=true
https://melbourneso.sharepoint.com/:w:/r/sites/MarketingSales2/_layouts/15/Doc.aspx?sourcedoc=%7BF4705A86-2447-4299-AF52-F9131AECD2E6%7D&file=220831%20Setting%20Up%20Hamer%20Hall%20Slideshow.docx&action=default&mobileredirect=true
https://melbourneso.sharepoint.com/:x:/s/MarketingSales2/Ee6X7CEg2aFHuFP7I2EFqkYBIxAIqCoyvsWXcVmZJGg0Iw?e=Dmrwdw  
Concert Report Template can be found in Box Office Email > Templates folder
When sending a Concert Report, please send to Box Office Concert report email and CC: your MSO email"
Venue Information,Hamer Hall,"Location: Arts Centre Melbourne, 100 St Kilda Road, Southbank 3004 
Performances: Majority of MSO concerts (e.g. Core Classical, Thurs Night, Sat Matinee, Mornings, Special and Commercial Events, Season Galas, etc.)  

The space is run by Arts Centre Melbourne (ACM), who also sell tickets to our performances here. Their number is 1800 183 183 and email is ticketing@artscentremelbourne.com.au. 
Front doors open 90 minutes prior to performance, and auditorium doors open 30 minutes prior to performance.

A map of Hamer Hall is available https://melbourneso.sharepoint.com/sites/MarketingSales2/Shared%20Documents/Forms/AllItems.aspx?FolderCTID=0x012000E6C35012C6BDCA49A47A36797AD3F716&id=%2Fsites%2FMarketingSales2%2FShared%20Documents%2F3%2E%20Sales%2FTicketing%20Operations%2FBox%20Office%2FBox%20Office%20Resources%2FSeat%20Maps%2FMSO%5FSeat%5FMap%5FHamer%5FHall%2Epdf&parent=%2Fsites%2FMarketingSales2%2FShared%20Documents%2F3%2E%20Sales%2FTicketing%20Operations%2FBox%20Office%2FBox%20Office%20Resources%2FSeat%20Maps
More information on Hamer Hall is availablehttps://melbourneso.sharepoint.com/:w:/r/sites/MarketingSales2/_layouts/15/Doc.aspx?sourcedoc=%7B9529EB35-1462-481C-9687-EAB59C9DBD45%7D&file=B.%20Hamer%20Hall.docx&action=default&mobileredirect=true.
Information on Swing Arm Seating is available https://app.asana.com/0/1206369590338123/1208623806746918/f.

General Venue FAQS:
Where is the Cloakroom?
The Cloakroom is located in Level 6 (St Kilda Road entry level) and around to the left hand side as you enter, past the ACM Bar with hot food.

Where is the Viewing Room?
The Viewing Room is located on Level 4 - same as Door 5-6 for Circle. This is a soundproofed room that can be utilised by latecomers or for patrons who may need to watch the concert in a more discreet manner (ongoing cough, baby crying, etc)

What is the easiest way to access Hamer Hall from the ACM car park?
As the ACM carpark is undergoing major works until 1 July 2024, access via the Theatres Building is not guaranteed during this time. Pedestrian access will always be available via the stairwell located between the Arts Centre forecourt and the National Gallery of Victoria moat. Car park access for people who cannot use stairs is via Southbank Boulevard. From the carpark, it is a approx. 5 min walk to Hamer Hall down St Kilda Rd towards the Yarra River.
Customers should call ACM Box Office on 1300 182 183 for more detailed queries.

Where else can I park for Hamer Hall?
    The Primrose Potter Australian Ballet Centre Car Park* (via Kavanagh Street)
    Wilson Parking Southgate Car Park (via City Road)
    Wilson Parking Eureka Car Park (via City Road)
*Please note there is a lift in the Ballet Centre Foyer that leads to a covered walkway across to St Kilda Road. 

Lost property contact details: (03) 9281 8316,

[seatmap]


#venue #subscription #Series #setseries #hamer #hall #ACM"
Venue Information,Swing Arm Seats (Hamer Hall),"In Hamer Hall, Swing Arm seats are available in the Stall Section 

Swing Arm Seats are located on the aisle seats in Stalls:
    Row B (middle block only)
    Row E
    Row H
    Row L
    Row P (no side aisles)
    Row T (no side aisles)
    Row W (outer blocks only, no side aisles)

Check for the light blue seats on https://melbourneso.sharepoint.com/sites/MarketingSales2/Shared%20Documents/Forms/AllItems.aspx?FolderCTID=0x012000E6C35012C6BDCA49A47A36797AD3F716&id=%2Fsites%2FMarketingSales2%2FShared%20Documents%2F3%2E%20Sales%2FTicketing%20Operations%2FBox%20Office%2FBox%20Office%20Resources%2FSeat%20Maps%2FMSO%5FSeat%5FMap%5FHamer%5FHall%2Epdf&parent=%2Fsites%2FMarketingSales2%2FShared%20Documents%2F3%2E%20Sales%2FTicketing%20Operations%2FBox%20Office%2FBox%20Office%20Resources%2FSeat%20Maps if you need assistance. "
Venue Information,Robert Blackwood Hall (RBH/Monash),"Location: 49 Scenic Blvd, Clayton VIC 3168 (Monash University, Clayton Campus)
Performances: Previously the home of the Monash Series, now a venue for concerts in the South-East of Melbourne

The space is run by Monash University, who also sell tickets to our performances here.  Front doors open 90 minutes prior to performance, and auditorium doors open 30 minutes prior to performance. 

What needs to be brought to Robert Blackwood Hall venue shifts?
2 x Laptops (LT bags include mouse, charger etc), Banners (as specified in concert sheet), 2 x EFTPOS machine, Wifi box, 2 x Power Board, Extension Cord, Gaffe tape, Ticket Stock, 5 x Season Brochures, Lost Ticket Book, Stationary (Pens, notebook, scissors, blue-tack, sticky tape), BO Open Signage, Confidential Waste Folder, BOCA printer, QR Code Signage, Crocodile (Ticker Sorter). 

A map of Robert Blackwood Hall is available https://melbourneso.sharepoint.com/:b:/s/MarketingSales2/EZVr-dBbPhdIoJgx_JTXioIB_kiRtZEDLWKl_z_Ru4nrOA?e=p6T48a
More information on Robert Blackwood Hall is availablehttps://melbourneso.sharepoint.com/:w:/r/sites/MarketingSales2/_layouts/15/Doc.aspx?sourcedoc=%7B98269B52-FA69-4FF1-8080-DB1570090F54%7D&file=G.%20Robert%20Blackwood%20Hall.docx&action=default&mobileredirect=true.

Lost property contact: +61 3 9905 1111

#venue #RBH #monash #clayton"
Venue Information,Melbourne Recital Centre (MRC),"Location: Elisabeth Murdoch Hall, 31 Sturt St, Southbank VIC 3006
Performances: Recital Centre Series (RC[year]), Ears Wide Open (EWO[year])

The space is run by Melbourne Recital Centre (MRC) who also sell tickets to our performances here. Front doors open 90 minutes prior to performance, and auditorium doors open 30 minutes prior to performance. 

What needs to be brought to Recital Centre venue shifts?
2 x Laptops (LT bags include mouse, charger etc), Banners (as specified in concert sheet), 2 x EFTPOS machine, Wifi box, 2 x Power Board, Extension Cord, Gaffe tape, Ticket Stock, 5 x Season Brochures, Lost Ticket Book, Stationary (Pens, notebook, scissors, blue-tack, sticky tape), BO Open Signage, Confidential Waste Folder, BOCA printer, QR Code Signage, Crocodile (Ticker Sorter), Black Tablecloth.

There are pre-concert talks at 6:45pm for the Recital Centre Series

A map of MRC is available https://melbourneso.sharepoint.com/:b:/s/MarketingSales2/EejTpqjFIBBPk8-C0fN-6xwBFzEHMXXTfGNOsavV3LfQ9g?e=3ZVwsP
More information on MRC is availablehttps://melbourneso.sharepoint.com/:w:/r/sites/MarketingSales2/_layouts/15/Doc.aspx?sourcedoc=%7BF7C34E96-0CF0-4A97-A949-003C929C261F%7D&file=D.%20Melbourne%20Recital%20Centre.docx&action=default&mobileredirect=true.

A reminder that wheelchair seats at MRC don't contain an actual seat. These seats are for customers remaining in their wheelchair.

Lost property contact: +61 (0)3 9699 2228


#venue #subscription #Series #setseries"
Venue Information,Iwaki Auditorium,"Location: ABC Building Level 1, 120 Southbank Blvd (Cnr of Moore St), Southbank, 3006
Performances: Chamber Series (CP[year]), Jams for Juniors, Music & Ideas

The space is run by ABC Building who provide security - with one guard stationed at entry doors and a second guard providing swipe access to bathrooms. Iwaki performances are exclusively ticketed by MSO. 
Front doors open approximately 60 minutes prior to performance, and auditorium doors open 15-20 minutes prior to performance. 

What needs to be brought in the road case to Iwaki Auditorium for Jams for Juniors performances?
2 x Laptops (LT bags include mouse, charger etc), Banners (as specified in concert sheet), 2 x EFTPOS machine, Wifi box, 2 x Power Board, Extension Cord, Gaffe tape, Black Tablecloth, Ticket Stock, 5 x Season Brochures, Lost Ticket Book, Stationary (Pens, notebook, scissors, blue-tak, sticky tape), BO Open Signage, Confidential Waste Folder, Seating Book, 2 x iPads. 

What needs to be brought in the road case to Iwaki Auditorium for other performances?
2 x Laptops (LT bags include mouse, charger etc), Banners (as specified in concert sheet), 2 x EFTPOS machine, Wifi box, 2 x Power Board, Extension Cord, Gaffe tape, Black Tablecloth, Ticket Stock, 5 x Season Brochures, Lost Ticket Book, Stationary (Pens, notebook, scissors, blue-tak, sticky tape), BO Open Signage, Confidential Waste Folder, Seating Book, 2 x iPads, BOCA printer, QR Code Signage, Crocodile (Ticker Sorter). 

Iwaki is a general admission venue - no seat map available.
More information on Iwaki is availablehttps://melbourneso.sharepoint.com/:w:/r/sites/MarketingSales2/_layouts/15/Doc.aspx?sourcedoc=%7B0903A11B-A9C6-4BE0-A142-D11042FE4561%7D&file=E.%20Iwaki%20Auditorium.docx&action=default&mobileredirect=true.

For lost property queries, please contact vic.property@abc.net.au and log here"
Venue Information,Costa Hall (Geelong),"Location: Deakin University, 1 Gheringhap St, Geelong, 3220
Performances: Geelong Subscription

The space is run by Geelong Arts Centre. As of 2024, both MSO and GAC have ticket to these performances. Doors open 75 minute prior to performance.

What needs to be brought to the venue?

Relevant banners, 5 x programs.

As the Box Office is operated by GPAC staff, we pass on ticket collects to production on the morning of the performance to take with them to Costa Hall. Production will arrange banners separately, and we can touch base with them to see if they need a top up of programs.

More information can be found https://www.mso.com.au/your-visit/venues/costa-hall
A map of Costa Hall can be found https://www.mso.com.au/uploads/images/Venue-images/Venue-Seat-Maps/MSO_Seat-Map_Costa-Hall.pdf
And an interactive map can be foundhttps://venue3d.com.au/tour-costa-hall/
Geelong exchanges work slightly differently to our typical exchanges. Information can be found https://app.asana.com/0/1206369590338123/1206884403286174/f

Lost property contact: 1300 251 200


"
Venue Information,MCEC Plenary,"Location: Melb. Convention & Exhibition Centre, 1 Convention Centre Pl, South Wharf VIC 3006
Performances: Special Events. E.g. MSO at the Movies

The space is run by Melbourne Convention & Exhibition Centre (MCEC). MSO exclusively tickets these events. Venue is accessible to the public during daytime hours, and auditorium doors open 30 minutes prior to performance. 

What needs to be brought to Plenary venue shifts?
2 x Laptops (LT bags include mouse, charger etc), Banners (as specified in concert sheet), 2 x EFTPOS machine, Wifi box, 2 x Power Board, Extension Cord, Gaffe tape, Ticket Stock, 5 x Season Brochures, Lost Ticket Book, Stationary (Pens, notebook, scissors, blue-tack, sticky tape), BO Open Signage, Confidential Waste Folder, BOCA printer, QR Code Signage, Crocodile (Ticker Sorter). 

A map of The Plenary is available https://melbournesymphonyorchestra-assets.s3.amazonaws.com/assets/File/3900.pdf
An interactive map can be found https://www.mcec.com.au/room-and-spaces/plenary-entire
More information on The Plenary is availablehttps://melbourneso.sharepoint.com/:w:/s/MarketingSales2/ESBvknpmUKJBsLuK76PYfoEBZN0mxKsPxLxPXCmEZVko1A?e=cJV31B.

Lost property contact: +61 3 9235 8000



https://app.asana.com/app/asana/-/get_asset?asset_id=1207917042704858


"
Venue Information,Sidney Myer Music Bowl (SMMB),"Location: Kings Domain Gardens, Linlithgow Ave, Melbourne VIC 3000
Performances: SMMB Free Summer Concerts, Special Events

The space is run by Arts Centre Melbourne (ACM), and sold by Ticketek. Tickets are not required for our Free Summer Concert series. Venue queries can be directed to ACM on 1800 183 183.

This is an outdoor, all-weather venue. Performance go ahead unless there is a risk of electrical storms. SMMB has strict policies on what can be brought into the venue. Entry via Gate 1. Gates open 90 minutes prior to start time.

What needs to be brought to SMMB venue shifts?
2 x Laptops, Banners (as specified in concert sheet), 2 x EFTPOS machines, Wifi Box, Power Board, Extension Cord, Gaffa Tape, Black Tablecloth, BOCA Printer, Ticket Stock, 5 x Season Brochures, Stationary (Pens, notebook, scissors, blue-tack, sticky tape), BO Open Signage, QR Code Signage, Confidential Wase Box/Folder.

SMMB is exclusively ticketed by Ticketek - MSO cannot sell tickets  - no seat map available.
More information on SMMB is availablehttps://melbourneso.sharepoint.com/:w:/s/MarketingSales2/Ec3xXscTesJOnn_xrYvYxAABXn-oKVIHPXQH_u_9PFhMtA?e=65udYK.
Sidney Myer Music Bowl FAQs are available https://www.artscentremelbourne.com.au/about-us/faqs/visit/sidney-myer-music-bowl.

Lost property contact: (03) 9281 8316"
Venue Information,Ticketek Phone Number 13 28 49,"Ticketek Phone Number if anyone needs it

Ticketek: 13 28 49

https://premier.ticketek.com.au/"
